Symbol,GICS Sector,environmentScore,socialScore,governanceScore,totalEsg,highestControversy,marketCap,beta
TDG,Industrials,12.01,17.71,9,38.72,2,77178421248,1.41
TEL,Information Technology,5.81,4.44,4.55,14.8,0,44913152000,1.325
TER,Information Technology,7.11,4.89,5.03,17.03,0,21165559808,1.492
TFX,Health Care,4.83,16.12,8.67,29.63,2,11376049152,1.156
TGT,Consumer Staples,1.93,7.55,4.86,14.35,3,70409453568,1.238
TJX,Consumer Discretionary,1.89,7.65,4.84,14.38,2,1.34904E+11,0.889
TMO,Health Care,1.44,4.89,6.47,12.81,3,2.34603E+11,0.778
TMUS,Communication Services,4.19,13.38,7.07,24.63,3,2.40183E+11,0.507
TPR,Consumer Discretionary,1.1,8.57,5.18,14.84,2,9963964416,1.552
TRGP,Energy,14.23,14.75,4.24,33.21,2,33304543232,2.252
TRMB,Information Technology,3.76,3.43,5.23,12.41,0,14239768576,1.484
TROW,Financials,2.39,8.95,5.57,16.91,1,24022775808,1.427
TRV,Financials,1.01,9.3,10.02,20.33,1,55218700288,0.629
TSCO,Consumer Discretionary,3.43,8.19,4.47,16.1,2,29852745728,0.799
TSLA,Consumer Discretionary,3.31,14.08,7.85,25.23,3,7.27963E+11,2.29
TSN,Consumer Staples,14.02,12.39,9.51,35.92,4,22008092672,0.777
TT,Industrials,4.39,5.71,5.11,15.2,2,84535984128,1.212
TXN,Information Technology,7.76,5.96,6.93,20.65,2,1.83878E+11,0.976
TXT,Industrials,10.92,16.08,6.61,33.61,2,16617225216,1.231
UAL,Industrials,10.78,12.79,5.04,28.61,2,17309820928,1.434
UDR,Real Estate,3.72,3.91,6.29,13.92,1,17647726592,0.841
UHS,Health Care,3.7,20.68,8.6,32.98,3,15676926976,1.282
ULTA,Consumer Discretionary,4.08,7.25,4.28,15.61,2,18704535552,1.312
UNH,Health Care,0.03,9.67,5.59,15.3,3,5.33699E+11,0.595
UNP,Industrials,7.3,10.55,5.6,23.45,2,1.54462E+11,1.053
UPS,Industrials,4.17,8.91,5.49,18.57,2,1.10421E+11,0.977
URI,Industrials,5.32,6.13,5.42,16.86,1,51007975424,1.681
USB,Financials,1.75,15.5,13.01,30.26,3,69739225088,1.054
V,Financials,1.81,8.22,6.65,16.68,3,5.67341E+11,0.963
VLO,Energy,20.15,7.42,4.99,32.56,2,43507605504,1.381
VMC,Materials,13.42,6.81,9.05,29.28,2,32370546688,0.815
VRSK,Industrials,0.05,12.49,4.98,17.53,1,38368903168,0.863
VRSN,Information Technology,4.74,10.77,5.79,21.3,1,17847136256,0.903
VRTX,Health Care,0.75,15.4,6.57,22.72,2,1.26323E+11,0.406
VTR,Real Estate,3.42,3.89,5.56,12.86,0,26731040768,1.388
VZ,Communication Services,3.74,9.59,5.39,18.73,3,1.85556E+11,0.407
WAB,Industrials,5.36,11.99,5.98,23.33,2,30504617984,1.273
WAT,Health Care,1.35,8.19,5.09,14.62,0,19528284160,0.955
WBA,Consumer Staples,1.79,9.29,5.18,16.25,3,7821272064,0.683
WDC,Information Technology,1.48,3.91,6.05,11.43,2,22630051840,1.38
WEC,Utilities,13.36,8.96,5.13,27.46,1,30387875840,0.435
WELL,Real Estate,4.24,3.49,5.5,13.23,1,78689722368,1.201
WFC,Financials,2.05,14.75,19.43,36.24,5,1.8554E+11,1.161
WM,Industrials,8.09,5.24,3.32,16.65,2,83601956864,0.753
WMB,Energy,8.72,10.13,2.96,21.82,2,55497883648,1.079
WMT,Consumer Staples,5.86,12.36,7.05,25.26,3,6.31806E+11,0.515
WRB,Financials,1.97,7.95,11.91,21.83,1,22357321728,0.623
WTW,Financials,0.07,7.83,10.76,18.66,2,29749815296,0.745
WY,Real Estate,9.05,4.18,3.45,16.68,2,24183224320,1.418
WYNN,Consumer Discretionary,3.37,11.75,10.58,25.7,2,8879360000,1.799
XEL,Utilities,12.7,9.26,4.49,26.45,2,35992227840,0.397
XOM,Energy,23.11,10.01,8.48,41.6,3,5.07282E+11,0.878
XYL,Industrials,4.27,8.66,5.19,18.13,1,32338771968,1.037
YUM,Consumer Discretionary,4.53,11.45,4.12,20.1,2,37833572352,1.081
ZBH,Health Care,3.6,14.52,7.89,26.02,2,21635987456,1.026
ZTS,Health Care,3.24,6.81,8.72,18.77,2,88666619904,0.883
